City_ID,Name,Admin unit,County,Acres burned,Lon,Lat,Date extinguished,Date created,Duration (days),Year extinguished,Year,Month created (num),Month
1210,Woody Fire,Kern County Fire Department,Kern,115.0,-118.92545,35.65189,2019-05-08,2019-04-30,8 days,2019,2019,4,April
1211,Meridian Fire,CAL FIRE Butte Unit,Butte,50.0,-121.905,39.85484,2019-05-08,2019-05-01,7 days,2019,2019,5,May
1212,Vulcan Fire,Kern County Fire,Kern,172.0,-119.19454,35.03855,2019-05-08,2019-05-03,5 days,2019,2019,5,May
1213,Refuge Fire,Kern County Fire and the US Fish and Wildlife Service,Kern,2500.0,-119.62762,35.72057,2019-05-09,2019-05-07,2 days,2019,2019,5,May
1214,Sugar Fire,US Forest Service - Tahoe National Forest,Placer,65.0,-120.76088,39.11536,2019-05-24,2019-05-10,14 days,2019,2019,5,May
1215,Border Fire,CAL FIRE/San Diego County Fire,San Diego,22.0,-116.8663,32.557566,2019-05-19,2019-05-13,6 days,2019,2019,5,May
1216,Shady Fire,CAL FIRE/Riverside County Fire Department,Riverside,130.0,-116.172534,33.650237,2019-05-24,2019-05-18,6 days,2019,2019,5,May
1217,Paskenta Fire,CAL FIRE Tehama-Glenn Unit,Tehama,63.0,-122.30737,39.98097,2019-05-24,2019-05-20,4 days,2019,2019,5,May
1218,Foothill Fire,CAL FIRE / Riverside County Fire,Riverside,26.0,-117.18194,33.81678,2019-05-24,2019-05-20,4 days,2019,2019,5,May
1219,Belmont Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,835.0,-119.96498,35.30759,2019-06-03,2019-05-29,5 days,2019,2019,5,May
1220,Hill Fire,CAL FIRE / Fresno County Fire,Fresno,121.0,-119.3046,36.66909,2019-06-05,2019-05-29,7 days,2019,2019,5,May
1221,Diversion Fire,CAL FIRE/ Riverside County Fire,Riverside,45.0,-114.57265,33.69078,2019-06-03,2019-05-30,4 days,2019,2019,5,May
1222,Canyon Fire,CAL FIRE Santa Clara Unit,Santa Clara,144.0,-121.22093,37.45899,2019-06-11,2019-05-30,12 days,2019,2019,5,May
1223,66 Fire,Bureau of Indian Affairs,Riverside,55.0,-116.1466,33.57039,2019-06-24,2019-05-29,26 days,2019,2019,5,May
1224,Spruce Fire,CAL FIRE Tulare Unit,Tulare,155.0,-119.10974,36.28001,2019-06-11,2019-06-01,10 days,2019,2019,6,June
1225,Citrus Fire,CAL FIRE Tulare Unit,Tulare,257.0,-118.99229,36.18479,2019-06-11,2019-06-02,9 days,2019,2019,6,June
1226,Yokohl Fire,CAL FIRE Tulare Unit,Tulare,33.0,-118.85712,36.23012,2019-06-04,2019-06-03,1 days,2019,2019,6,June
1227,Bear Fire,CAL FIRE Tulare Unit,Tulare,25.0,-118.80582,36.14246,2019-06-11,2019-06-03,8 days,2019,2019,6,June
1228,Boulder Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,1075.0,-119.913717,35.343761,2019-06-11,2019-06-05,6 days,2019,2019,6,June
1229,Willow Fire,CAL FIRE Santa Clara Unit,Contra Costa,23.0,-121.9763,38.02503,2019-06-11,2019-06-06,5 days,2019,2019,6,June
1230,Nelson Fire ,City of Fairfield,Solano,24.0,-122.12214,38.21416,2019-06-17,2019-06-07,10 days,2019,2019,6,June
1231,Watt Fire,CAL FIRE Nevada-Yuba-Placer Unit ,Placer,27.0,-121.39259,38.75263,2019-06-11,2019-06-07,4 days,2019,2019,6,June
1232,Stuhr Fire,CAL FIRE Santa Clara Unit,Stanislaus,581.0,-121.09375,37.25988,2019-06-11,2019-06-07,4 days,2019,2019,6,June
1233,Levee Fire,City of Marysville,Yuba,70.0,-121.56363,39.15641,2019-06-17,2019-06-08,9 days,2019,2019,6,June
1234,Sand Fire,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,2220.0,-122.23922,38.88978,2019-06-17,2019-06-08,9 days,2019,2019,6,June
1235,Ink Fire,CAL FIRE Sonoma-Lake-Napa Unit,Napa,50.0,-122.47282,38.63047,2019-06-17,2019-06-08,9 days,2019,2019,6,June
1236,West Butte Fire,Sutter County Fire Department,Sutter,1350.0,-121.85906,39.28926,2019-06-17,2019-06-08,9 days,2019,2019,6,June
1237,McMillan Fire,CAL FIRE San Luis Obispo County ,San Luis Obispo,1763.0,-120.41128,35.66318,2019-06-24,2019-06-12,12 days,2019,2019,6,June
1238,Malech Fire,CAL FIRE Santa Clara Unit,Santa Clara,210.0,-121.70768,37.21638,2019-06-11,2019-06-09,2 days,2019,2019,6,June
1239,Calaveras Fire ,CAL FIRE Santa Clara Unit,Santa Clara,35.0,-121.84082,37.44422,2019-06-17,2019-06-10,7 days,2019,2019,6,June
1240,Ardo Fire,CAL FIRE San Benito - Monterey Unit,Monterey,43.0,-120.88241,35.97059,2019-06-17,2019-06-12,5 days,2019,2019,6,June
1241,Springs Fire,CAL FIRE Tulare Unit ,Tulare,47.0,-118.94106,35.89593,2019-06-11,2019-06-10,1 days,2019,2019,6,June
1242,Bitter Fire ,CAL FIRE San Luis Obispo Unit,San Luis Obispo,120.0,-120.11738,35.57376,2019-06-11,2019-06-10,1 days,2019,2019,6,June
1243,Pauma Fire,CAL FIRE / San Diego County Fire,San Diego,15.0,-116.97772,33.30267,2019-06-24,2019-06-10,14 days,2019,2019,6,June
1244,32 Fire,CAL FIRE Chico Butte Unit,Butte,17.0,-121.73659,39.76242,2019-06-24,2019-06-15,9 days,2019,2019,6,June
1245,Rocky Fire,CAL FIRE Siskiyou,Siskiyou,17.0,-122.35962,41.64895,2019-06-17,2019-06-14,3 days,2019,2019,6,June
1246,IronGate Fire,CAL FIRE Siskiyou Unit,Siskiyou,10.0,-122.40157,41.94622,2019-06-21,2019-06-16,5 days,2019,2019,6,June
1247,Weisgarber Fire,Camp Pendleton,San Diego,120.0,-117.29665,33.39684,2019-06-21,2019-06-20,1 days,2019,2019,6,June
1248,Lumgrey Fire,USFS Klamath National Forest,Siskiyou,207.0,-121.85906,39.28926,2019-06-24,2019-06-17,7 days,2019,2019,6,June
1249,Jerry Fire,CAL FIRE/Riverside County Fire Department,Riverside,500.0,-117.103765,33.919507,2019-06-24,2019-06-21,3 days,2019,2019,6,June
1250,Mountain Fire,Alameda County Fire,Alameda,30.0,-121.57382,37.75427,2019-06-24,2019-06-21,3 days,2019,2019,6,June
1251,Paskenta Fire,CAL FIRE Tehama - Glenn Unit,Tehama,46.0,-122.48277,39.97083,2019-06-24,2019-06-22,2 days,2019,2019,6,June
1252,Scott Fire,CAL FIRE Nevada-Yuba-Placer Unit,Yuba,80.0,-121.32399,39.24678,2019-06-24,2019-06-24,0 days,2019,2019,6,June
1253,Rock Fire,CAL FIRE ,Stanislaus,2420.0,-121.28312,37.46577,2019-06-27,2019-06-25,2 days,2019,2019,6,June
1254,Lonoak Fire,CAL FIRE San Benito-Monterey Unit,Monterey,2546.0,-120.94771,36.28426,2019-06-26,2019-06-25,1 days,2019,2019,6,June
1255,Trinity Fire,CAL FIRE Shasta-Trinity Unit,Shasta,90.0,-122.66779,40.41404,2019-06-26,2019-06-26,0 days,2019,2019,6,June
1256,Mines Fire,CAL FIRE Santa Clara Unit,Santa Clara,17.0,-121.534827,37.494136,2019-06-27,2019-06-26,1 days,2019,2019,6,June
1257,Dyer Fire,CAL FIRE Nevada-Yuba-Placer Unit,Placer,148.0,-121.39419,38.73817,2019-06-27,2019-06-26,1 days,2019,2019,6,June
1258,Nuevo Fire,CAL FIRE/Riverside County Fire Department,Riverside,20.0,-117.15738,33.80493,2019-06-27,2019-06-27,0 days,2019,2019,6,June
1259,Long Fire,CAL FIRE Nevada-Yuba-Placer Unit ,Nevada,2.0,-121.00055556,39.40972222,2019-06-28,2019-06-28,0 days,2019,2019,6,June
1260,Otay Fire,CAL FIRE San Diego County Fire Unit,San Diego,28.0,-116.91416667,32.62305556,2019-06-30,2019-06-29,1 days,2019,2019,6,June
1261,Wolf Fire ,CAL FIRE / Riverside County Fire,Riverside,214.0,-116.980528,33.911,2019-06-30,2019-06-29,1 days,2019,2019,6,June
1262,Merced Fire ,CAL FIRE Madera- Mariposa- Merced Unit ,Merced,210.0,-120.242411,37.312877,2019-07-02,2019-06-29,3 days,2019,2019,6,June
1263,Mayberry Fire ,CAL FIRE Butte County Fire Unit ,Butte,12.0,-121.23431,39.32889,2019-06-29,2019-06-29,0 days,2019,2019,6,June
1264,Coyote Fire,San Jose Fire,Santa Clara,74.0,-121.694968,37.18904,2019-07-02,2019-07-02,0 days,2019,2019,7,July
1265,Hollow Fire,CAL FIRE Santa Clara Unit,San Joaquin,283.0,-121.538382,37.63206,2019-07-05,2019-07-03,2 days,2019,2019,7,July
1266,Bikeway Fire,CAL FIRE Santa Clara Unit,Alameda,25.0,-121.3697,37.469,2019-07-05,2019-07-05,0 days,2019,2019,7,July
1267,Fellow Fire,CAL FIRE Santa Clara Unit,Contra Costa,24.0,-122.16201,37.99837,2019-07-05,2019-07-05,0 days,2019,2019,7,July
1268,Ranch Fire,CAL FIRE Shasta-Trinity Unit,Shasta,30.0,-122.767256,40.41741,2019-07-06,2019-07-05,1 days,2019,2019,7,July
1269,Snowstorm Fire,Susanville Bureau of Land Management,Lassen,263.0,-120.392768,40.679318,2019-07-06,2019-07-05,1 days,2019,2019,7,July
1272,Gillis Fire,CAL FIRE San Luis Obispo Unit,San Luis Obispo,1010.0,-120.2691666,35.6311111,2019-07-09,2019-07-08,1 days,2019,2019,7,July
1273,Sargent Fire,CAL FIRE San Benito-Monterey Unit,Monterey,190.0,-120.8092,35.95191,2019-07-10,2019-07-09,1 days,2019,2019,7,July
1274,Gibbel Fire ,CAL FIRE Riverside County Fire Department ,Riverside,20.0,-116.953889,33.69055556,2019-07-11,2019-07-11,0 days,2019,2019,7,July
1275,Border Fire,CAL FIRE San Diego County Fire ,San Diego,100.0,-116.7525,32.566389,2019-07-15,2019-07-12,3 days,2019,2019,7,July
1276,Lincoln Fire,CAL FIRE Riverside Unit,Riverside,80.0,-116.07896,33.56938,2019-07-17,2019-07-12,5 days,2019,2019,7,July
1277,Mid Fire,CAL FIRE SCU,Alameda,22.0,-121.586846,37.093243,2019-07-12,2019-07-12,0 days,2019,2019,7,July
1279,Orange fire,CAL FIRE / Riverside County Fire,Riverside,96.0,-117.1228851,33.8128372,2019-07-13,2019-07-13,0 days,2019,2019,7,July
1280,Jasper Fire,CAL FIRE NEU,State of Nevada,1165.0,-119.769881,39.631945,2019-07-16,2019-07-13,3 days,2019,2019,7,July
1281,Doyle Fire,Bureau of Land Management,Lassen,193.0,-120.158273,40.072739,2019-07-16,2019-07-14,2 days,2019,2019,7,July
1282,South Fire ,CAL FIRE San Luis Obispo ,Ventura,131.0,-118.96,34.366111,2019-07-15,2019-07-14,1 days,2019,2019,7,July
1283,Milton Fire ,CAL FIRE Tuolumne-Calaveras Unit ,Stanislaus,202.0,-120.84372,37.944751,2019-07-16,2019-07-15,1 days,2019,2019,7,July
1284,Aborn Fire,CAL FIRE Santa Clara Unit ,Santa Clara,47.0,-121.76444444,37.32555556,2019-07-15,2019-07-15,0 days,2019,2019,7,July
1285,Madera Fire ,CAL FIRE Madera-Mariposa-Merced Unit,Madera,213.0,-119.934167,37.016944,2019-07-16,2019-07-15,1 days,2019,2019,7,July
1286,Meadow Fire,CAL FIRE / Riverside County Fire,Riverside,81.0,-116.7884,33.514658,2019-07-17,2019-07-16,1 days,2019,2019,7,July
1288,Goose 2 Fire,Modoc National Forest,Modoc,128.0,-120.306,41.909,2019-07-20,2019-07-17,3 days,2019,2019,7,July
1289,Vista Fire,CAL FIRE / San Diego County Fire,San Diego,25.0,-116.839743,32.794768,2019-07-18,2019-07-17,1 days,2019,2019,7,July
1290,Rains Fire,CAL FIRE Santa Clara Unit,Stanislaus,35.0,-121.371276,37.420988,2019-07-18,2019-07-18,0 days,2019,2019,7,July
1291,Whiskey Fire,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,27.0,-120.78068,38.115224,2019-07-20,2019-07-18,2 days,2019,2019,7,July
1304,Tucker Fire,Modoc National Forest,Modoc,14217.0,-121.260305,41.79591,2019-08-11,2019-07-28,14 days,2019,2019,7,July
1306,Range Fire,Los Padres National Forest,Santa Barbara,100.0,-119.94974,34.665699,2019-08-05,2019-07-28,8 days,2019,2019,7,July
1308,Mill Fire,Los Padres National Forest,Monterey,280.0,-121.466944,36.008889,2019-08-12,2019-07-30,13 days,2019,2019,7,July
1309,Carson Fire,CAL FIRE Amador-El Dorado Unit,El Dorado,13.0,-120.75664,38.757636,2019-07-31,2019-07-30,1 days,2019,2019,7,July
1311,Caliente Fire,City of San Diego Fire-Rescue ,San Diego,448.0,-117.026667,32.575556,2019-08-03,2019-08-01,2 days,2019,2019,8,August
1312,Browns Fire,CAL FIRE Amador El Dorado Unit ,Sacramento,84.0,-121.123611,38.3525,2019-08-02,2019-08-02,0 days,2019,2019,8,August
1313,Prairie Fire ,CAL FIRE Amador-El Dorado Unit,Sacramento,50.0,-121.114095,38.622058,2019-08-02,2019-08-02,0 days,2019,2019,8,August
1314,Meadow Fire (Not a CAL FIRE incident),Davis Creek Fire Department,Modoc,103.0,-120.23976,41.43783,2019-08-02,2019-08-02,0 days,2019,2019,8,August
1315,Marsh Complex,Unified Command: CAL FIRE Santa Clara Unit and East Contra Costa Fire Protection District,Contra Costa,340.0,-121.872941,37.908362,2019-08-06,2019-08-03,3 days,2019,2019,8,August
1316,Five Fire,Angeles National Forest,Los Angeles,156.0,-118.752395,34.677864,2019-08-05,2019-08-03,2 days,2019,2019,8,August
1317,La Barisa Fire,CAL FIRE San Bernardino Unit,San Bernardino,26.0,-116.4449,34.202883,2019-08-04,2019-08-03,1 days,2019,2019,8,August
1319,Caliente Fire,Kern County Fire Department ,Kern,29.0,-118.623651,35.287373,2019-08-06,2019-08-05,1 days,2019,2019,8,August
1320,Toro Fire ,CAL FIRE Riverside County Fire Department ,Riverside,94.0,-117.333728,33.740219,2019-08-06,2019-08-05,1 days,2019,2019,8,August
1324,Golf Fire,CAL FIRE Sonoma-Lake-Napa Unit,Lake,20.0,-122.7751,38.99174,2019-08-11,2019-08-08,3 days,2019,2019,8,August
