City_ID,Name,Year,Month,Month created (num),County,Acres burned,Duration (days),Lat,Lon
1009,Buckingham Fire,2018,July,7,Contra Costa,45.0,186.0,37.86339,-122.12351
1010,Building Fire,2018,July,7,San Diego,10.0,182.0,32.619855,-116.764733
1011,Shingle Fire,2018,July,7,El Dorado,316.0,184.0,38.539806,-121.059979
1012,Klamathon Fire,2018,July,7,Siskiyou,38008.0,183.0,41.893332,-122.534655
1013,Irish Fire,2018,July,7,Amador,825.0,182.0,38.42623,-120.95408
1014,Valley Fire,2018,July,7,San Bernardino,1350.0,182.0,34.095568,-116.958806
1015,Eagle Fire,2018,July,7,Modoc,2100.0,175.0,41.29363,-120.11461
1016,Holiday Fire,2018,July,7,Santa Barbara,113.0,182.0,34.463889,-119.831389
1017,Bridle Fire,2018,July,7,Santa Clara,116.0,182.0,37.06367,-121.53586
1018,Stoney Fire,2018,July,7,Butte,962.0,176.0,39.77124,-121.76859
1019,Gray Fire,2018,July,7,San Bernardino,12.0,175.0,34.171786,-117.35606
1020,Ferguson Fire,2018,July,7,Mariposa,96901.0,175.0,37.6549,-119.88581
1021,Lebec Fire,2018,July,7,Kern,62.0,180.0,34.86022,-118.87881
1022,Dark Fire,2018,July,7,Butte,11.0,178.0,39.66492,-121.51772
1023,Curie Fire,2018,July,7,Santa Clara,70.0,178.0,37.22545,-121.79189
1024,Hale Fire,2018,July,7,Santa Clara,51.0,178.0,37.163594,-121.702547
1025,Kelley Fire,2018,July,7,Modoc,52.0,174.0,41.50105,-120.61108
1026,Panoche Fire,2018,July,7,San Benito,278.0,177.0,36.65351,-121.0454
1027,Georges Fire,2018,July,7,Inyo,2883.0,180.0,36.6734,-118.21881
1028,Vista Fire,2018,July,7,Shasta,31.0,180.0,40.62693,-122.23449
1029,Bruce Fire,2018,July,7,Contra Costa,56.0,180.0,37.79718,-121.85311
1030,Grant Fire,2018,July,7,Alameda,480.0,180.0,37.75646,-121.60646
1031,Box Fire,2018,July,7,San Bernardino,100.0,182.0,34.22526,-117.40967
1032,Cornerstone Fire,2018,July,7,Madera,11.0,179.0,37.19817,-119.80414
1033,Spring 2 Fire,2018,July,7,Lake,80.0,179.0,39.06715,-122.59789
1034,Dale Fire,2018,July,7,Tehama,856.0,179.0,40.33682,-121.93908
1035,Idria Fire,2018,July,7,San Benito,116.0,176.0,36.59036,-120.82355
1036,3-2 Fire,2018,July,7,Lassen,14.0,174.0,39.99309,-120.02137
1037,Steamboat Fire,2018,July,7,Siskiyou,224.0,173.0,41.70877,-122.47293
1038,3-10 Fire,2018,July,7,Lassen,56.0,173.0,40.95234,-121.21597
1039,Johnson Fire,2018,July,7,Humboldt,16.0,173.0,41.34453,-123.85404
1040,3-18 Fire,2018,July,7,Lassen,32.0,173.0,41.08583,-121.05722
1041,3-16 Fire,2018,July,7,Lassen,89.0,173.0,40.94666,-121.27049
1042,Tuscan Fire,2018,July,7,Tehama,50.0,173.0,40.27754,-122.11375
1043,Mill Creek 1 Fire,2018,August,8,Humboldt,3674.0,141.0,41.07944,-123.688056
1044,Camp Fire,2018,July,7,San Luis Obispo,14.0,171.0,35.70086,-120.97339
1045,Border Fire,2018,July,7,San Diego,28.0,171.0,32.557566,-116.8663
1046,Lott Fire,2018,July,7,Siskiyou,10.0,171.0,41.632373,-122.37985
1047,Cruces Fire,2018,July,7,Santa Barbara,77.0,170.0,34.54305556,-120.31805556
1048,Eighty Eight Fire,2018,July,7,Yolo,822.0,170.0,38.59694444,-121.99388889
1049,Simmons Fire,2018,July,7,Butte,43.0,169.0,39.57202,-121.43131
1050,Ben Fire,2018,July,7,Mariposa,40.0,169.0,37.28365,-119.97546
1051,Cinnamon Fire,2018,July,7,San Diego,13.0,168.0,33.04898,-116.78928
1052,Skyline Fire,2018,July,7,Riverside,282.0,169.0,33.836101,-117.607577
1053,Highland Fire,2018,July,7,Shasta,63.0,168.0,40.741186,-122.649626
1054,Windmill Fire,2018,July,7,Santa Barbara,110.0,168.0,34.62412,-120.22298
1055,Carder Fire,2018,July,7,Lake,50.0,167.0,38.91152,-122.86854
1056,Rock Fire,2018,July,7,San Luis Obispo,30.0,167.0,35.68539,-120.95157
1057,Mustang Fire,2018,July,7,San Luis Obispo,37.0,167.0,35.64917,-120.71907
1058,Country Fire,2018,July,7,Santa Clara,320.0,166.0,37.449425,-121.88807
1059,Heart Fire,2018,July,7,Mendocino,67.0,167.0,39.279833,-123.258319
1060,Horse Creek Fire,2018,July,7,Tulare,34.0,169.0,36.42638,-118.70443
1061,Pico Fire,2018,July,7,Los Angeles,128.0,165.0,34.38039,-118.60441
1062,Martinez Fire,2018,July,7,Riverside,40.0,165.0,33.56921,-116.154398
1063,Ridge Fire,2018,September,9,Lake,36.0,124.0,38.981389,-122.97222
1064,Crestline Fire,2018,July,7,Shasta,51.0,164.0,40.824,-121.90215
1065,Roxie Fire (Formerly 1-1 Fire),2018,July,7,Lassen,167.0,164.0,40.34822,-120.82497
1066,Church Fire,2018,July,7,Santa Clara,20.0,163.0,37.07793,-121.600023
1067,Marsh Fire,2018,July,7,Contra Costa,247.0,163.0,37.89612,-121.85847
1068,Hidden Fire,2018,July,7,San Benito,39.0,163.0,36.796,-121.40604
1069,Patterson Fire,2018,July,7,Alameda,34.0,163.0,37.71173,-121.55604
1070,Western Fire,2018,August,8,Mendocino,106.0,156.0,38.8802,-123.0496
1071,Pasqual Fire,2018,July,7,San Diego,365.0,161.0,33.07892,-116.91845
1072,Ribbon Fire,2018,July,7,Riverside,205.0,162.0,33.571763,-116.500058
1073,Parrots Fire,2018,August,8,Calaveras,136.0,152.0,38.08424,-120.46078
1074,Wagner Fire,2018,August,8,Mariposa,22.0,153.0,37.69965,-120.0545
1075,Creek Fire,2018,August,8,Alameda,30.0,153.0,37.533026,-121.79733
1076,Tarina Fire,2018,August,8,Kern,3156.0,154.0,35.37444,-118.83556
1077,Balch Fire,2018,July,7,Tulare,100.0,161.0,36.21634,-118.82989
1078,Breckenridge Fire,2018,July,7,Kern,993.0,161.0,35.387408,-118.817934
1079,Whaleback Fire,2018,July,7,Lassen,18703.0,161.0,40.633536,-120.868091
1080,Donnell Fire,2018,August,8,Tuolumne,36450.0,156.0,38.349,-119.929
1081,Owens Fire,2018,July,7,Inyo,338.0,157.0,37.735461,-118.970443
1082,Sobrante Fire,2018,July,7,Riverside,30.0,160.0,33.85852,-117.43521
1083,Rock Fire,2018,July,7,San Diego,207.0,160.0,33.41476,-117.24044
1084,Butte Fire,2018,July,7,Sutter,1200.0,157.0,39.186144,-121.792885
1085,Steele Fire,2018,July,7,Napa,135.0,160.0,38.51943,-122.18353
1086,Eel Fire,2018,July,7,Mendocino,972.0,157.0,39.82877,-123.08489
1087,Corner Fire,2018,July,7,Shasta,35.0,159.0,40.95673,-121.6002
1088,Reservoir Fire,2018,September,9,San Luis Obispo,51.0,110.0,35.30151,-120.64398
1089,Casner Fire,2018,August,8,San Diego,14.0,151.0,33.05737,-116.77154
1090,Bumper Fire,2018,August,8,El Dorado,67.0,156.0,38.645,-120.874167
1091,Omega Fire,2018,August,8,El Dorado,66.0,156.0,38.82128,-121.03918
1092,Sunset Fire,2018,August,8,Placer,695.0,156.0,38.82426,-121.451307
1093,Turkey Fire,2018,August,8,Monterey,2225.0,151.0,35.847778,-120.343056
1094,Holy Fire,2018,August,8,Orange,23136.0,151.0,33.69888,-117.52055
1095,Terra Fire,2018,August,8,Riverside,35.0,151.0,33.759722,-117.460278
1096,South Fire,2018,August,8,Calaveras,290.0,151.0,38.061298,-120.872244
1097,Murphy Fire,2018,August,8,Plumas,117.0,150.0,39.996944,-121.27
1098,Five Fire,2018,August,8,Kings,2995.0,151.0,35.97896,-119.98329
1099,Bridge Fire,1969,December,12,Marin,45.0,17901.0,38.07135,-122.76751
1100,Pine Fire,2018,August,8,Kern,114.0,141.0,35.56888889,-118.80138889
1101,Hirz Fire,2018,August,8,Shasta,46150.0,148.0,40.896,-122.219
1102,Land Fire,2018,August,8,Riverside,23.0,135.0,33.946896,-117.066643
1103,Rangeland Fire,2018,August,8,San Diego,250.0,148.0,33.076239,-116.902985
1104,Hat Fire,2018,August,8,Shasta,1900.0,148.0,40.99344,-121.52225
1105,Syar Fire,2018,August,8,Napa,10.0,148.0,38.27229,-122.26389
1106,Alhambra Fire,2018,August,8,Contra Costa,30.0,140.0,37.99618,-122.14097
1107,Snell Fire,2018,September,9,Napa,2490.0,118.0,38.69601,-122.44468
